"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Savion Williams","GB","13.1","147.2","1.1","9.0","47.1","0.3","0.2","34.1"
"Isaiah Bond","CLE","11.4","151.7","0.9","4.3","23.6","0.1","0.2","29.0"
"Jaylin Lane","WAS","12.4","159.3","1.1","0.0","0.0","0.0","0.1","28.4"
"Skyler Bell","BUF","12.1","163.6","1.0","0.0","0.0","0.0","0.1","27.9"
"Tutu Atwell","LAR","9.7","139.2","0.9","2.3","12.0","0.1","0.1","26.0"
"Olamide Zaccheaus","ATL","14.3","142.3","0.6","0.0","0.0","0.0","0.2","24.8"
"Colbie Young","CIN","10.6","131.4","1.0","0.0","0.0","0.0","0.1","24.2"
"Roman Wilson","PIT","11.8","135.0","0.6","0.0","0.0","0.0","0.1","22.9"
"Brenen Thompson","LAC","9.5","121.7","0.7","2.1","11.3","0.1","0.1","22.7"
"Isaiah Williams","NYJ","11.7","114.3","0.4","2.2","12.7","0.1","0.1","21.6"
"Elijah Sarratt","BAL","8.3","123.6","0.8","0.0","0.0","0.0","0.1","20.9"
"Odell Beckham Jr.","NYG","9.2","113.1","0.6","0.0","0.0","0.0","0.1","19.3"
"Tez Johnson","TB","6.7","77.5","0.6","4.4","23.2","0.2","0.1","18.1"
"Jimmy Horn Jr.","CAR","6.6","75.5","0.4","6.2","37.0","0.2","0.1","17.9"
"Jordan Whittington","LAR","7.5","84.7","0.6","2.3","12.1","0.1","0.1","17.6"
"Konata Mumpfield","LAR","6.6","83.7","0.8","0.0","0.0","0.0","0.1","16.1"
"Jalen Royals","KC","6.8","78.1","0.6","0.0","0.0","0.0","0.1","14.9"
"KeAndre Lambert-Smith","LAC","6.4","80.6","0.6","0.0","0.0","0.0","0.1","14.6"
"Laquon Treadwell","IND","6.9","76.0","0.4","0.0","0.0","0.0","0.1","13.3"
"Bo Melton","GB","5.0","65.1","0.4","2.2","13.0","0.1","0.1","13.2"
"Dont'e Thornton Jr.","LV","6.0","83.0","0.3","0.0","0.0","0.0","0.1","13.0"
"Barion Brown","NO","5.9","74.3","0.3","0.0","0.0","0.0","0.1","12.3"
"Tay Martin","DET","3.4","40.7","0.3","4.7","25.7","0.3","0.1","11.5"
"Malachi Corley","CLE","3.4","33.7","0.1","6.4","43.9","0.2","0.1","11.2"
"Kevin Austin Jr.","NO","5.3","64.5","0.3","0.0","0.0","0.0","0.1","10.6"
"Derius Davis","LAC","3.5","38.1","0.3","2.1","11.0","0.1","0.1","8.6"
"Dohnte Meyers","CIN","3.7","42.6","0.4","0.0","0.0","0.0","0.0","8.3"
"Xavier Smith","LAR","3.6","44.3","0.3","0.0","0.0","0.0","0.0","8.1"
"Efton Chism III","NE","3.5","42.7","0.3","0.0","0.0","0.0","0.0","7.8"
"Jacob Cowing","SF","3.3","44.1","0.3","0.0","0.0","0.0","0.0","7.7"
"Josh Cameron","JAC","3.2","39.9","0.2","0.0","0.0","0.0","0.0","7.0"
"Tai Felton","MIN","3.7","37.0","0.2","0.0","0.0","0.0","0.0","6.9"
"Jonathan Mingo","DAL","2.9","40.5","0.3","0.0","0.0","0.0","0.0","6.9"
"Darius Cooper","PHI","3.3","37.7","0.3","0.0","0.0","0.0","0.0","6.8"
"Reggie Virgil","ARI","3.4","39.2","0.1","0.0","0.0","0.0","0.0","6.4"
"Brycen Tremayne","CAR","3.3","36.0","0.2","0.0","0.0","0.0","0.0","6.1"
"Arian Smith","NYJ","0.0","0.0","0.0","4.4","23.7","0.2","0.0","3.5"
"Ben Skowronek","PIT","1.8","16.9","0.1","0.0","0.0","0.0","0.0","3.0"
"Kameron Johnson","TB","0.0","0.0","0.0","2.2","12.1","0.1","0.0","1.8"
"Kaden Wetjen","PIT","0.0","0.0","0.0","2.1","11.7","0.1","0.0","1.6"
"Gunner Olszewski","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Devin Duvernay","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tylan Wallace","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Skyy Moore","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Xavier Weaver","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Dareke Young","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jalen Brooks","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nikko Remigio","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Tyrell Shavers","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Mason Tipton","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LaJohntay Wester","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Ke'Shawn Williams","CIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Myles Price","MIN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
